claim_id,complexity,handling_days,num_touches,is_fraud,fraud_type,settled_amount,was_reopened
CLM-00088,medium,19,4,False,,4414.23,False
CLM-00089,medium,9,5,False,,338.18,False
CLM-00090,complex,33,10,True,phantom,2943.28,False
CLM-00091,medium,22,5,False,,516.25,False
CLM-00092,simple,6,3,False,,1006.56,False
CLM-00093,complex,44,8,False,,6786.6,False
CLM-00094,simple,5,2,False,,901.32,False
CLM-00095,medium,7,9,False,,,False
CLM-00096,simple,3,2,False,,202.5,False
CLM-00097,complex,46,7,True,repeated,1931.46,True
CLM-00098,simple,4,1,False,,107.49,False
CLM-00099,simple,4,2,False,,,False
CLM-00100,medium,21,3,False,,,False
CLM-00101,medium,14,10,True,inflated,4188.99,False
CLM-00102,complex,37,12,False,,,False
CLM-00103,medium,15,2,False,,858.33,False
CLM-00104,simple,8,4,False,,324.55,False
CLM-00105,complex,17,9,False,,,False
CLM-00106,simple,3,4,False,,2302.23,False
CLM-00107,medium,11,5,True,repeated,322.87,False
CLM-00108,medium,9,6,False,,3714.32,False
CLM-00109,simple,2,1,False,,287.9,False
CLM-00110,simple,2,1,False,,,False
CLM-00111,medium,11,5,False,,,False
CLM-00112,simple,5,2,False,,,False
CLM-00113,simple,7,1,False,,125.75,False
CLM-00114,medium,13,5,False,,4124.83,False
CLM-00115,simple,5,4,False,,541.3,False
CLM-00116,complex,37,10,True,inflated,2487.22,False
CLM-00117,medium,13,2,True,repeated,80.36,False
CLM-00118,medium,20,8,False,,731.96,True
CLM-00119,medium,14,6,False,,9887.67,False
CLM-00120,medium,17,4,False,,540.98,True
CLM-00121,medium,22,3,False,,336.76,False
CLM-00122,simple,10,2,False,,1102.15,False
CLM-00123,simple,4,1,False,,,False
CLM-00124,medium,10,4,False,,5036.22,False
CLM-00125,complex,28,9,False,,652.07,False
CLM-00126,medium,13,6,False,,,False
CLM-00127,medium,12,2,False,,4041.29,False
CLM-00128,medium,13,5,True,repeated,374.66,False
CLM-00129,simple,3,1,False,,1077.13,False
CLM-00130,medium,25,5,False,,0.0,False
CLM-00131,simple,5,1,False,,,False
CLM-00132,medium,12,5,False,,4155.04,False
CLM-00133,medium,20,2,False,,166.56,False
CLM-00134,simple,4,1,False,,522.72,False
CLM-00135,complex,19,12,True,repeated,410.9,False
CLM-00136,complex,52,9,True,staged,,False
CLM-00137,complex,28,11,True,phantom,,False
CLM-00138,complex,37,9,True,repeated,139.53,False
CLM-00139,simple,4,3,False,,,False
CLM-00140,medium,11,5,True,repeated,688.56,False
CLM-00141,simple,6,4,False,,607.74,False
CLM-00142,simple,5,2,False,,400.86,False
CLM-00143,medium,13,3,True,repeated,597.71,False
CLM-00144,simple,3,2,False,,784.29,False
CLM-00145,medium,12,5,False,,,False
CLM-00146,simple,3,3,False,,5662.19,False
CLM-00147,complex,30,11,True,staged,2886.2,False
CLM-00148,complex,30,11,False,,,False
CLM-00149,complex,41,8,False,,,False
CLM-00150,medium,14,2,False,,3395.45,False
CLM-00151,simple,2,2,False,,,False
CLM-00152,simple,7,1,False,,,False
CLM-00153,simple,5,1,True,repeated,62.12,True
CLM-00154,simple,4,3,False,,,False
CLM-00155,medium,7,6,False,,164.23,False
CLM-00156,simple,3,1,False,,0.0,False
CLM-00157,medium,15,9,False,,5055.19,False
CLM-00158,complex,34,8,False,,710.84,False
CLM-00159,complex,27,9,True,repeated,0.0,False
CLM-00160,complex,36,11,True,inflated,7168.04,False
CLM-00161,medium,21,3,False,,4824.58,False
CLM-00162,simple,4,2,True,repeated,166.16,False
CLM-00163,complex,60,10,True,phantom,7133.08,True
CLM-00164,complex,35,12,False,,,False
CLM-00165,simple,6,3,False,,78.11,True
CLM-00166,complex,7,12,False,,1062.4,True
CLM-00167,medium,3,5,False,,,False
CLM-00168,complex,27,10,False,,5766.62,False
CLM-00169,simple,3,3,False,,2627.19,True
CLM-00170,simple,2,1,False,,,False
CLM-00171,medium,13,5,False,,22897.96,False
CLM-00172,medium,14,6,False,,0.0,False
CLM-00173,simple,7,2,False,,0.0,False
CLM-00174,medium,13,2,False,,2034.97,False
CLM-00175,complex,37,9,True,staged,11087.69,False
CLM-00176,simple,7,1,True,repeated,479.68,False
CLM-00177,simple,5,1,True,repeated,146.09,False
CLM-00178,medium,25,5,False,,,False
CLM-00179,simple,5,3,True,inflated,1130.89,False
CLM-00180,complex,35,10,False,,843.77,False
CLM-00181,complex,37,10,False,,259.04,False
CLM-00182,medium,19,6,False,,,False
CLM-00183,simple,3,2,True,repeated,0.0,False
CLM-00184,simple,5,2,False,,0.0,False
CLM-00185,medium,3,4,False,,432.79,False
CLM-00186,medium,9,6,False,,,False
CLM-00187,simple,4,1,False,,61.35,False
CLM-00188,simple,5,1,False,,,False
CLM-00189,medium,15,4,False,,,False
CLM-00190,complex,29,7,False,,3871.35,False
CLM-00191,simple,1,1,False,,604.0,False
CLM-00192,medium,21,5,False,,,False
CLM-00193,medium,13,2,False,,937.16,True
CLM-00194,simple,7,3,False,,,False
CLM-00195,medium,17,8,False,,4345.63,False
CLM-00196,medium,21,7,False,,,False
CLM-00197,simple,4,2,False,,357.09,False
CLM-00198,complex,30,8,False,,0.0,False
CLM-00199,simple,4,2,False,,434.17,False
CLM-00200,complex,15,10,False,,2241.61,False
CLM-00201,simple,5,2,True,repeated,182.75,False
CLM-00202,simple,3,1,False,,,False
CLM-00203,medium,18,4,False,,392.66,False
CLM-00204,medium,25,4,True,staged,3093.66,False
CLM-00205,complex,55,9,False,,1755.12,False
CLM-00206,complex,56,11,False,,2126.95,False
CLM-00207,simple,6,1,False,,122.82,False
CLM-00208,medium,21,7,False,,3797.18,False
CLM-00209,simple,2,2,False,,2203.17,False
CLM-00210,medium,6,4,False,,2008.8,False
CLM-00211,simple,3,1,False,,639.07,False
CLM-00212,simple,7,1,False,,,False
CLM-00213,simple,3,3,False,,175.63,False
CLM-00214,simple,4,3,False,,1149.37,False
CLM-00215,simple,3,2,False,,627.04,False
CLM-00216,complex,29,7,False,,0.0,False
CLM-00217,medium,20,3,False,,868.09,False
CLM-00218,simple,8,1,False,,0.0,False
CLM-00219,medium,23,4,False,,7306.79,False
CLM-00220,medium,17,7,False,,437.46,False
CLM-00221,simple,7,1,False,,4810.25,False
CLM-00222,complex,26,16,False,,2335.93,False
CLM-00223,medium,8,6,False,,0.0,False
CLM-00224,complex,32,14,False,,,False
CLM-00225,complex,28,11,False,,3744.33,False
CLM-00226,complex,55,6,False,,2119.76,True
CLM-00227,simple,9,2,False,,1171.59,False
CLM-00228,medium,11,4,False,,2945.65,False
CLM-00229,medium,25,5,False,,6185.79,False
CLM-00230,simple,1,3,True,inflated,621.52,False
CLM-00231,complex,29,6,False,,6318.38,True
CLM-00232,simple,3,1,False,,184.88,False
CLM-00233,medium,19,4,False,,,False
CLM-00234,simple,6,2,False,,845.46,False
CLM-00235,simple,5,1,False,,0.0,False
CLM-00236,complex,20,10,True,staged,,False
CLM-00237,simple,3,1,False,,6432.43,False
CLM-00238,medium,19,2,True,repeated,,False
CLM-00239,simple,7,1,False,,,False
CLM-00240,simple,5,2,False,,323.7,False
CLM-00241,simple,6,1,True,repeated,,False
CLM-00242,medium,5,4,False,,7129.49,False
CLM-00243,medium,10,5,False,,1014.04,False
CLM-00244,simple,5,2,False,,6404.29,False
CLM-00245,complex,38,10,False,,1342.01,False
CLM-00246,medium,12,4,False,,3314.68,False
CLM-00247,medium,16,7,False,,0.0,False
CLM-00248,medium,14,3,False,,4874.24,False
CLM-00249,complex,45,11,False,,1456.02,False
CLM-00250,complex,24,13,False,,,False
CLM-00251,medium,14,4,False,,4533.32,False
CLM-00252,complex,36,5,False,,0.0,False
CLM-00253,simple,2,2,False,,304.65,False
CLM-00254,simple,3,1,False,,591.44,False
CLM-00255,complex,9,13,False,,892.25,False
CLM-00256,complex,41,12,False,,4286.14,False
CLM-00257,simple,2,1,True,repeated,1442.19,False
CLM-00258,simple,6,2,True,repeated,784.0,False
CLM-00259,simple,3,2,False,,,False
CLM-00260,simple,3,1,True,repeated,,False
CLM-00261,simple,5,1,False,,,False
CLM-00262,medium,10,2,False,,0.0,False
CLM-00263,medium,13,7,False,,264.23,False
CLM-00264,simple,4,1,False,,,False
CLM-00265,medium,9,2,False,,0.0,False
CLM-00266,simple,6,1,False,,2975.48,False
CLM-00267,simple,5,1,False,,251.06,False
CLM-00268,complex,38,7,False,,,False
CLM-00269,simple,5,1,False,,0.0,False
CLM-00270,medium,19,4,False,,,False
CLM-00271,simple,3,1,False,,523.56,False
CLM-00272,medium,14,5,False,,5923.38,False
CLM-00273,medium,14,2,False,,1602.3,False
CLM-00274,simple,6,1,False,,,False
CLM-00275,medium,16,2,False,,0.0,False
CLM-00276,complex,45,11,False,,2951.86,False
CLM-00277,simple,4,2,False,,4222.92,False
CLM-00278,medium,24,4,False,,3562.28,True
CLM-00279,medium,3,6,True,repeated,0.0,False
CLM-00280,simple,3,1,True,inflated,,False
CLM-00281,medium,21,3,False,,,False
CLM-00282,simple,7,2,True,repeated,,False
CLM-00283,simple,4,2,False,,0.0,False
CLM-00284,complex,44,8,False,,1349.22,False
CLM-00285,medium,12,7,False,,3796.42,False
CLM-00286,complex,19,12,True,phantom,6292.01,False
CLM-00287,simple,4,2,False,,973.56,False
CLM-00288,complex,39,12,True,staged,7873.17,False
CLM-00289,medium,15,3,False,,904.72,False
CLM-00290,complex,42,12,False,,1999.52,False
CLM-00291,complex,57,4,True,phantom,11108.81,False
CLM-00292,simple,7,1,False,,,False
CLM-00293,medium,15,8,False,,6276.92,False
CLM-00294,simple,5,1,False,,,False
CLM-00295,medium,12,7,False,,681.37,False
CLM-00296,simple,3,2,False,,469.01,False
CLM-00297,simple,2,2,False,,492.09,True
CLM-00298,simple,4,2,False,,,False
CLM-00299,simple,4,2,False,,188.53,False
CLM-00300,medium,17,5,False,,511.59,True
CLM-00301,simple,2,1,False,,230.19,False
CLM-00302,simple,6,2,False,,,False
CLM-00303,simple,7,2,False,,1728.13,False
CLM-00304,simple,2,3,False,,1997.78,False
CLM-00305,complex,25,12,False,,130.99,False
CLM-00306,complex,32,6,True,staged,,False
CLM-00307,simple,5,3,False,,0.0,False
CLM-00308,medium,17,6,False,,1211.96,False
CLM-00309,simple,6,2,False,,229.86,False
CLM-00310,simple,3,1,False,,1525.94,False
CLM-00311,medium,14,2,False,,789.7,False
CLM-00312,complex,55,7,True,repeated,3054.32,False
CLM-00313,simple,4,2,False,,163.45,False
CLM-00314,complex,25,8,False,,1600.62,False
CLM-00315,complex,63,9,True,repeated,689.34,False
CLM-00316,medium,11,5,False,,0.0,False
CLM-00317,complex,42,8,True,repeated,,False
CLM-00318,complex,24,6,False,,2231.2,False
CLM-00319,complex,40,8,False,,1741.66,False
CLM-00320,simple,5,2,False,,576.52,False
CLM-00321,medium,7,2,False,,,False
CLM-00322,simple,5,2,False,,1281.99,False
CLM-00323,simple,1,1,False,,637.58,False
CLM-00324,complex,40,10,False,,663.24,False
CLM-00325,simple,4,3,False,,3353.34,False
CLM-00326,medium,24,3,False,,,False
CLM-00327,simple,3,2,False,,2381.67,True
CLM-00328,simple,5,2,True,repeated,,False
CLM-00329,medium,16,2,False,,5100.18,False
CLM-00330,simple,7,2,False,,101.28,False
CLM-00331,medium,20,5,False,,2166.68,False
CLM-00332,simple,8,2,False,,155.53,False
CLM-00333,simple,3,1,True,repeated,171.59,False
CLM-00334,simple,7,1,False,,1391.14,False
CLM-00335,simple,4,2,False,,0.0,False
CLM-00336,complex,37,8,False,,1629.1,False
CLM-00337,medium,25,5,False,,,False
CLM-00338,complex,33,10,True,staged,,False
CLM-00339,complex,39,6,False,,2286.46,False
CLM-00340,simple,2,2,False,,4378.1,False
CLM-00341,medium,16,6,True,staged,853.5,False
CLM-00342,simple,4,3,True,repeated,577.88,False
CLM-00343,medium,21,3,False,,967.84,False
CLM-00344,medium,10,4,False,,,False
CLM-00345,complex,23,8,True,repeated,1810.73,False
CLM-00346,medium,12,5,False,,,False
CLM-00347,complex,45,12,True,staged,4263.95,False
CLM-00348,complex,10,14,True,repeated,,False
CLM-00349,medium,14,8,False,,596.02,False
CLM-00350,simple,2,3,False,,259.57,False
CLM-00351,complex,24,14,False,,3817.16,False
CLM-00352,simple,2,1,False,,685.18,False
CLM-00353,medium,14,8,False,,,False
CLM-00354,medium,14,5,False,,1603.03,True
CLM-00355,simple,5,1,False,,567.6,False
CLM-00356,medium,11,2,False,,,False
CLM-00357,medium,15,5,False,,702.09,False
CLM-00358,medium,9,4,False,,,False
CLM-00359,medium,24,2,False,,,False
CLM-00360,simple,6,3,False,,,False
CLM-00361,medium,31,2,False,,0.0,False
CLM-00362,simple,7,1,False,,389.67,False
CLM-00363,medium,16,7,False,,6481.7,True
CLM-00364,medium,16,8,False,,,False
CLM-00365,medium,22,5,False,,5346.4,False
CLM-00366,simple,6,1,False,,373.75,False
CLM-00367,simple,6,1,False,,,False
CLM-00368,simple,3,1,False,,408.83,False
CLM-00369,medium,16,8,False,,,False
CLM-00370,medium,20,6,False,,2445.55,False
CLM-00371,simple,4,2,False,,6491.3,False
CLM-00372,complex,35,14,False,,2720.23,False
CLM-00373,complex,28,10,True,repeated,668.28,False
CLM-00374,complex,25,6,True,phantom,1876.61,True
CLM-00375,medium,21,2,False,,3528.02,False
CLM-00376,simple,3,1,False,,2157.44,False
CLM-00377,medium,11,5,False,,0.0,False
CLM-00378,medium,23,3,False,,0.0,False
CLM-00379,medium,13,6,False,,0.0,False
CLM-00380,medium,21,5,True,repeated,574.67,False
CLM-00381,simple,6,3,False,,,False
CLM-00382,simple,5,3,False,,,False
CLM-00383,simple,7,1,False,,29.96,False
CLM-00384,simple,7,2,False,,,False
CLM-00385,simple,2,1,True,repeated,569.89,False
CLM-00386,simple,4,1,False,,,False
CLM-00387,simple,3,1,False,,,False
CLM-00388,medium,16,2,False,,286.49,False
CLM-00389,medium,14,3,False,,1728.57,False
CLM-00390,medium,17,7,False,,2738.68,False
CLM-00391,medium,15,3,False,,,False
CLM-00392,simple,5,2,False,,428.74,False
CLM-00393,complex,37,8,False,,1355.81,False
CLM-00394,simple,2,1,False,,504.77,False
CLM-00395,medium,23,3,False,,,False
CLM-00396,medium,21,4,False,,7582.94,False
CLM-00397,simple,4,1,False,,,False
CLM-00398,simple,4,2,False,,3368.72,True
CLM-00399,complex,39,10,False,,,False
CLM-00400,medium,10,7,False,,6206.37,False
CLM-00401,medium,13,3,False,,,False
CLM-00402,simple,3,1,False,,8458.72,False
CLM-00403,simple,4,2,True,repeated,1766.73,False
CLM-00404,medium,22,2,False,,,False
CLM-00405,simple,3,2,False,,0.0,False
CLM-00406,complex,10,10,False,,0.0,False
CLM-00407,medium,19,8,True,repeated,922.31,False
CLM-00408,medium,17,7,False,,5860.58,False
CLM-00409,complex,42,11,True,phantom,11827.6,False
CLM-00410,medium,17,4,False,,16495.01,False
CLM-00411,simple,5,3,False,,,False
CLM-00412,simple,1,2,False,,1780.48,False
CLM-00413,medium,13,7,False,,,False
CLM-00414,simple,7,2,False,,801.78,False
CLM-00415,medium,14,6,False,,2060.34,False
CLM-00416,simple,3,1,False,,146.77,False
CLM-00417,simple,4,1,False,,570.25,False
CLM-00418,medium,22,2,False,,,False
CLM-00419,simple,3,1,False,,3659.06,False
CLM-00420,complex,33,8,False,,461.01,False
CLM-00421,simple,6,1,False,,391.96,False
CLM-00422,simple,3,1,False,,,False
CLM-00423,complex,20,8,True,repeated,,False
CLM-00424,simple,7,1,False,,0.0,False
CLM-00425,complex,45,4,False,,3845.67,False
CLM-00426,simple,4,1,False,,4287.67,False
CLM-00427,simple,8,1,False,,1657.36,False
CLM-00428,medium,14,5,False,,2620.89,False
CLM-00429,simple,5,1,False,,2799.78,False
CLM-00430,simple,7,2,False,,,False
CLM-00431,simple,3,1,False,,3644.55,False
CLM-00432,complex,46,10,False,,0.0,False
CLM-00433,simple,7,1,False,,111.24,False
CLM-00434,simple,3,2,False,,3798.84,True
CLM-00435,complex,41,10,False,,,False
CLM-00436,complex,28,5,False,,7139.62,False
CLM-00437,simple,3,2,False,,0.0,False
CLM-00438,medium,20,6,False,,,False
CLM-00439,medium,15,5,True,repeated,614.62,False
CLM-00440,medium,13,3,False,,509.94,False
CLM-00441,complex,11,8,False,,0.0,False
CLM-00442,simple,6,1,False,,570.58,False
CLM-00443,simple,2,1,False,,138.14,False
CLM-00444,simple,6,2,False,,558.75,False
CLM-00445,simple,3,1,False,,0.0,False
CLM-00446,simple,6,2,False,,390.68,False
CLM-00447,medium,13,3,False,,372.89,False
CLM-00448,simple,1,2,False,,860.9,False
CLM-00449,medium,20,7,False,,3166.17,False
CLM-00450,medium,12,5,False,,1226.25,False
CLM-00451,simple,6,1,False,,,False
CLM-00452,medium,14,8,False,,,False
CLM-00453,simple,6,1,False,,17.3,False
CLM-00454,simple,2,2,False,,943.73,False
CLM-00455,medium,14,5,False,,,False
CLM-00456,medium,7,2,False,,5990.16,False
CLM-00457,medium,15,6,False,,,False
CLM-00458,complex,50,11,False,,1252.36,False
CLM-00459,medium,21,2,False,,1157.48,False
CLM-00460,complex,12,9,True,repeated,,False
CLM-00461,medium,4,6,False,,1295.36,False
CLM-00462,medium,15,2,False,,6841.25,False
CLM-00463,medium,25,2,False,,6592.19,False
CLM-00464,medium,16,7,False,,,False
CLM-00465,complex,43,7,False,,,False
CLM-00466,simple,7,3,False,,,False
CLM-00467,simple,4,1,False,,,False
CLM-00468,simple,7,1,True,repeated,,False
CLM-00469,medium,14,8,False,,,False
CLM-00470,simple,7,2,False,,0.0,False
CLM-00471,complex,40,11,False,,3215.0,False
CLM-00472,simple,4,1,False,,2461.95,False
CLM-00473,medium,14,2,False,,575.51,False
CLM-00474,medium,14,5,False,,,False
CLM-00475,simple,1,1,False,,4445.48,False
CLM-00476,simple,2,3,False,,92.09,False
CLM-00477,medium,13,8,False,,13075.0,False
CLM-00478,complex,38,14,False,,1077.44,True
CLM-00479,simple,5,3,False,,64.41,False
CLM-00480,simple,3,1,False,,,False
CLM-00481,complex,60,8,False,,541.7,False
CLM-00482,simple,3,1,False,,2715.13,False
CLM-00483,medium,12,4,False,,2420.16,False
CLM-00484,simple,7,4,True,repeated,162.41,False
CLM-00485,simple,4,2,False,,1178.42,False
CLM-00486,simple,5,2,False,,294.48,False
CLM-00487,medium,10,8,False,,2940.94,False
CLM-00488,simple,7,3,False,,0.0,False
CLM-00489,complex,27,14,True,repeated,,False
CLM-00490,simple,3,1,False,,407.12,False
CLM-00491,medium,32,4,False,,6573.21,False
CLM-00492,complex,24,9,False,,2298.79,True
CLM-00493,simple,2,2,False,,,False
CLM-00494,medium,13,6,False,,1834.8,False
CLM-00495,simple,5,1,False,,184.23,False
CLM-00496,simple,7,2,False,,,False
CLM-00497,simple,7,3,False,,0.0,False
CLM-00498,complex,40,5,False,,4839.0,False
CLM-00499,simple,9,1,True,repeated,520.85,False
CLM-00500,complex,39,10,False,,568.54,False
CLM-00501,simple,3,1,False,,,False
CLM-00502,simple,5,2,False,,2662.76,True
CLM-00503,simple,3,1,False,,,False
CLM-00504,complex,60,10,False,,,False
CLM-00505,simple,6,3,False,,0.0,False
CLM-00506,medium,27,5,False,,11310.74,False
CLM-00507,simple,5,1,False,,,False
CLM-00508,medium,12,6,False,,264.96,False
CLM-00509,medium,15,6,False,,16165.25,True
CLM-00510,simple,10,2,False,,0.0,False
CLM-00511,complex,43,6,False,,5891.71,False
CLM-00512,complex,15,12,True,inflated,2118.51,False
CLM-00513,medium,15,4,False,,683.92,False
CLM-00514,complex,50,7,True,inflated,,False
CLM-00515,complex,39,8,False,,4853.2,False
CLM-00516,simple,6,2,True,phantom,197.37,False
CLM-00517,complex,26,9,False,,,False
CLM-00518,medium,17,4,False,,3178.71,False
CLM-00519,medium,8,6,False,,0.0,False
CLM-00520,simple,3,1,False,,12863.86,False
CLM-00521,complex,39,14,True,phantom,0.0,False
CLM-00522,simple,5,1,False,,300.79,False
CLM-00523,complex,18,11,False,,3212.37,False
CLM-00524,complex,37,8,False,,2606.66,False
CLM-00525,simple,4,2,False,,1938.96,False
CLM-00526,complex,36,9,False,,0.0,False
CLM-00527,medium,12,3,False,,5128.0,False
CLM-00528,complex,39,6,True,inflated,508.25,False
CLM-00529,complex,10,13,False,,601.97,False
CLM-00530,complex,45,10,False,,1589.92,False
CLM-00531,medium,12,3,False,,,False
CLM-00532,medium,16,5,False,,4927.0,False
CLM-00533,simple,4,1,False,,,False
CLM-00534,complex,48,9,False,,500.82,False
CLM-00535,simple,7,1,False,,,False
CLM-00536,complex,53,13,False,,653.67,True
CLM-00537,complex,37,9,True,staged,907.39,False
CLM-00538,medium,12,7,False,,0.0,False
CLM-00539,medium,14,3,False,,,False
CLM-00540,simple,6,1,False,,5170.42,False
CLM-00541,medium,12,3,False,,1600.19,False
CLM-00542,medium,11,2,False,,6906.85,False
CLM-00543,complex,36,8,False,,854.74,False
CLM-00544,simple,4,3,False,,259.29,False
CLM-00545,medium,16,7,False,,,False
CLM-00546,simple,5,2,False,,67.17,False
CLM-00547,medium,12,6,False,,1134.68,False
CLM-00548,simple,8,3,False,,,False
CLM-00549,medium,6,2,True,phantom,16076.94,False
CLM-00550,simple,4,1,False,,148.99,False
CLM-00551,medium,14,2,False,,5795.22,False
CLM-00552,medium,16,6,False,,392.06,False
CLM-00553,complex,42,6,False,,,False
CLM-00554,simple,7,1,False,,139.76,True
CLM-00555,medium,10,6,False,,11716.63,False
CLM-00556,complex,48,15,False,,0.0,False
CLM-00557,simple,5,2,False,,164.4,False
CLM-00558,simple,8,1,False,,,False
CLM-00559,medium,16,7,False,,,False
CLM-00560,simple,8,1,False,,4718.01,False
CLM-00561,simple,3,2,False,,794.16,False
CLM-00562,medium,9,5,False,,734.28,False
CLM-00563,simple,7,2,False,,164.36,False
CLM-00564,complex,30,7,True,phantom,4145.75,False
CLM-00565,simple,4,1,False,,,False
CLM-00566,medium,13,5,False,,,False
CLM-00567,simple,4,2,False,,55.78,False
CLM-00568,medium,9,4,False,,797.09,False
CLM-00569,complex,59,8,False,,1212.97,True
CLM-00570,complex,36,10,True,inflated,4314.75,False
CLM-00571,simple,3,2,True,phantom,,False
CLM-00572,complex,27,7,True,repeated,855.67,False
CLM-00573,complex,39,6,False,,2867.6,True
CLM-00574,medium,24,2,False,,,False
CLM-00575,simple,6,2,False,,,False
CLM-00576,medium,17,2,False,,,False
CLM-00577,simple,3,2,False,,,False
CLM-00578,simple,1,2,False,,78.9,False
CLM-00579,medium,4,5,False,,,False
CLM-00580,simple,3,2,False,,499.87,False
CLM-00581,complex,24,12,False,,2319.1,False
CLM-00582,medium,8,7,False,,0.0,False
CLM-00583,medium,15,6,False,,3835.44,False
CLM-00584,simple,5,2,False,,1661.86,False
CLM-00585,simple,6,2,False,,,False
CLM-00586,medium,16,4,False,,1367.16,False
CLM-00587,simple,7,2,True,repeated,,False
CLM-00588,simple,9,1,True,repeated,169.48,False
CLM-00589,simple,2,2,False,,,False
CLM-00590,simple,1,1,False,,,False
CLM-00591,medium,16,2,False,,113.93,False
CLM-00592,medium,10,2,False,,0.0,False
CLM-00593,complex,39,11,False,,0.0,False
CLM-00594,medium,16,4,False,,3179.61,False
CLM-00595,medium,22,8,False,,1335.51,False
CLM-00596,complex,16,10,True,staged,7354.16,False
CLM-00597,medium,17,6,False,,,False
CLM-00598,medium,15,2,False,,7148.82,True
CLM-00599,simple,5,2,False,,608.36,False
CLM-00600,simple,5,3,False,,1255.79,False
CLM-00601,medium,24,2,False,,0.0,False
CLM-00602,medium,21,5,False,,1564.39,False
CLM-00603,medium,12,5,False,,,False
CLM-00604,simple,3,1,False,,1981.8,False
CLM-00605,simple,5,1,False,,,False
